Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.082;-;-;1.082;-;-
Wählende;459;42,4 %;-;459;42,4 %;-
Ungültige Stimmen;18;3,9 %;-;8;1,7 %;-
Gültige Stimmen;441;96,1 %;-;451;98,3 %;-
SPD;168;38,1 %;-;162;35,9 %;-
AfD;161;36,5 %;-;150;33,3 %;-
CDU;50;11,3 %;-;43;9,5 %;-
GRÜNE/B 90;3;0,7 %;-;7;1,6 %;-
DIE LINKE;32;7,3 %;-;13;2,9 %;-
BVB / FREIE WÄHLER;19;4,3 %;-;5;1,1 %;-
FDP;8;1,8 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;3;0,7 %;-
Plus;-;-;-;3;0,7 %;-
BSW;-;-;-;60;13,3 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;2;0,4 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
