Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.622;-;-;1.622;-;-
Wählende;902;55,6 %;+46;902.0;55,6 %;+46
Ungültige Stimmen;17;1,9 %;+04;11.0;1,2 %;-00
Gültige Stimmen;885;98,1 %;-04;891.0;98,8 %;+00
SPD;266;30,1 %;-53;230.0;25,8 %;-50
AfD;357;40,3 %;+162;337.0;37,8 %;+133
CDU;96;10,8 %;-16;61.0;6,8 %;-57
GRÜNE/B 90;23;2,6 %;-63;41.0;4,6 %;-60
DIE LINKE;86;9,7 %;-37;41.0;4,6 %;-74
BVB / FREIE WÄHLER;40;4,5 %;+04;13.0;1,5 %;-25
FDP;17;1,9 %;+02;6.0;0,7 %;-21
Tierschutzpartei;-;-;-;17.0;1,9 %;+02
Plus;-;-;-;4.0;0,4 %;-04
BSW;-;-;-;131.0;14,7 %;+147
III. Weg;-;-;-;1.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;3.0;0,3 %;+03
WU;-;-;-;6.0;0,7 %;+07
