Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;987;-;-;987;-;-
Wählende;465;47,1 %;-;465;47,1 %;-
Ungültige Stimmen;2;0,4 %;-;2;0,4 %;-
Gültige Stimmen;463;99,6 %;-;463;99,6 %;-
SPD;200;43,2 %;-;178;38,4 %;-
AfD;113;24,4 %;-;110;23,8 %;-
CDU;102;22,0 %;-;77;16,6 %;-
GRÜNE/B 90;12;2,6 %;-;25;5,4 %;-
DIE LINKE;15;3,2 %;-;9;1,9 %;-
BVB / FREIE WÄHLER;16;3,5 %;-;5;1,1 %;-
FDP;5;1,1 %;-;6;1,3 %;-
Tierschutzpartei;-;-;-;6;1,3 %;-
Plus;-;-;-;5;1,1 %;-
BSW;-;-;-;35;7,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;4;0,9 %;-
