Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;630;-;-;630;-;-
Wählende;258;41,0 %;-;258;41,0 %;-
Ungültige Stimmen;11;4,3 %;-;10;3,9 %;-
Gültige Stimmen;247;95,7 %;-;248;96,1 %;-
SPD;86;34,8 %;-;73;29,4 %;-
AfD;107;43,3 %;-;101;40,7 %;-
CDU;22;8,9 %;-;19;7,7 %;-
GRÜNE/B 90;1;0,4 %;-;4;1,6 %;-
DIE LINKE;9;3,6 %;-;3;1,2 %;-
BVB / FREIE WÄHLER;22;8,9 %;-;8;3,2 %;-
FDP;0;0,0 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;4;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;29;11,7 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;1;0,4 %;-
DLW;-;-;-;4;1,6 %;-
WU;-;-;-;0;0,0 %;-
