Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;139;-;-;139;-;-
Wählende;68;48,9 %;-;68;48,9 %;-
Ungültige Stimmen;2;2,9 %;-;2;2,9 %;-
Gültige Stimmen;66;97,1 %;-;66;97,1 %;-
SPD;25;37,9 %;-;20;30,3 %;-
AfD;25;37,9 %;-;20;30,3 %;-
CDU;8;12,1 %;-;8;12,1 %;-
GRÜNE/B 90;1;1,5 %;-;2;3,0 %;-
DIE LINKE;0;0,0 %;-;2;3,0 %;-
BVB / FREIE WÄHLER;2;3,0 %;-;1;1,5 %;-
FDP;1;1,5 %;-;1;1,5 %;-
Tierschutzpartei;-;-;-;1;1,5 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;9;13,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;4;6,1 %;-;2;3,0 %;-
WU;-;-;-;0;0,0 %;-
