Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;435;-;-;435;-;-
Wählende;235;54,0 %;-;235;54,0 %;-
Ungültige Stimmen;9;3,8 %;-;6;2,6 %;-
Gültige Stimmen;226;96,2 %;-;229;97,4 %;-
SPD;54;23,9 %;-;46;20,1 %;-
AfD;101;44,7 %;-;101;44,1 %;-
CDU;43;19,0 %;-;24;10,5 %;-
GRÜNE/B 90;3;1,3 %;-;6;2,6 %;-
DIE LINKE;11;4,9 %;-;8;3,5 %;-
BVB / FREIE WÄHLER;11;4,9 %;-;6;2,6 %;-
FDP;3;1,3 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;1;0,4 %;-
Plus;-;-;-;2;0,9 %;-
BSW;-;-;-;29;12,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;2,2 %;-
WU;-;-;-;0;0,0 %;-
