Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;189;-;-;189;-;-
Wählende;120;63,5 %;+247;120;63,5 %;+247
Ungültige Stimmen;4;3,3 %;+20;1;0,8 %;-02
Gültige Stimmen;116;96,7 %;-20;119;99,2 %;+02
SPD;35;30,2 %;+41;37;31,1 %;+09
AfD;46;39,7 %;+121;39;32,8 %;+45
CDU;15;12,9 %;-38;13;10,9 %;-48
GRÜNE/B 90;1;0,9 %;-87;2;1,7 %;-49
DIE LINKE;8;6,9 %;-19;5;4,2 %;-41
BVB / FREIE WÄHLER;6;5,2 %;-10;3;2,5 %;-23
FDP;0;0,0 %;-21;0;0,0 %;-26
Tierschutzpartei;5;4,3 %;+43;3;2,5 %;+08
Plus;-;-;-13;0;0,0 %;-17
BSW;-;-;-;17;14,3 %;+143
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
