Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;757;-;-;757;-;-
Ungültige Stimmen;8;1,1 %;+01;2;0,3 %;-03
Gültige Stimmen;749;98,9 %;-01;755;99,7 %;+03
SPD;306;40,9 %;+41;255;33,8 %;+54
AfD;183;24,4 %;+65;166;22,0 %;+07
CDU;166;22,2 %;+56;137;18,1 %;-14
GRÜNE/B 90;12;1,6 %;-89;18;2,4 %;-63
DIE LINKE;25;3,3 %;-27;11;1,5 %;-84
BVB / FREIE WÄHLER;47;6,3 %;-30;17;2,3 %;-36
FDP;10;1,3 %;-15;6;0,8 %;-14
Tierschutzpartei;-;-;-;7;0,9 %;-09
Plus;-;-;-;7;0,9 %;-05
BSW;-;-;-;123;16,3 %;+163
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;6;0,8 %;+08
WU;-;-;-;2;0,3 %;+03
