Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;787;-;-;787;-;-
Wählende;255;32,4 %;-;255;32,4 %;-
Ungültige Stimmen;9;3,5 %;-;8;3,1 %;-
Gültige Stimmen;246;96,5 %;-;247;96,9 %;-
SPD;40;16,3 %;-;43;17,4 %;-
AfD;145;58,9 %;-;135;54,7 %;-
CDU;17;6,9 %;-;12;4,9 %;-
GRÜNE/B 90;1;0,4 %;-;4;1,6 %;-
DIE LINKE;8;3,3 %;-;2;0,8 %;-
BVB / FREIE WÄHLER;24;9,8 %;-;10;4,0 %;-
FDP;7;2,8 %;-;2;0,8 %;-
Tierschutzpartei;-;-;-;9;3,6 %;-
Plus;-;-;-;2;0,8 %;-
BSW;-;-;-;26;10,5 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;4;1,6 %;-;0;0,0 %;-
WU;-;-;-;1;0,4 %;-
