Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;468;-;-;468;-;-
Wählende;252;53,8 %;-;252;53,8 %;-
Ungültige Stimmen;0;0,0 %;-;1;0,4 %;-
Gültige Stimmen;252;100,0 %;-;251;99,6 %;-
SPD;79;31,3 %;-;78;31,1 %;-
AfD;94;37,3 %;-;82;32,7 %;-
CDU;48;19,0 %;-;37;14,7 %;-
GRÜNE/B 90;6;2,4 %;-;8;3,2 %;-
DIE LINKE;12;4,8 %;-;7;2,8 %;-
BVB / FREIE WÄHLER;10;4,0 %;-;2;0,8 %;-
FDP;3;1,2 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;4;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;28;11,2 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,8 %;-
WU;-;-;-;1;0,4 %;-
