Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;699;-;-;699;-;-
Wählende;394;56,4 %;-;394;56,4 %;-
Ungültige Stimmen;4;1,0 %;-;5;1,3 %;-
Gültige Stimmen;390;99,0 %;-;389;98,7 %;-
SPD;158;40,5 %;-;147;37,8 %;-
AfD;119;30,5 %;-;115;29,6 %;-
CDU;61;15,6 %;-;57;14,7 %;-
GRÜNE/B 90;4;1,0 %;-;8;2,1 %;-
DIE LINKE;12;3,1 %;-;5;1,3 %;-
BVB / FREIE WÄHLER;28;7,2 %;-;11;2,8 %;-
FDP;2;0,5 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;7;1,8 %;-
Plus;6;1,5 %;-;2;0,5 %;-
BSW;-;-;-;35;9,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
