Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;698;-;-;698;-;-
Wählende;344;49,3 %;-;344;49,3 %;-
Ungültige Stimmen;7;2,0 %;-;5;1,5 %;-
Gültige Stimmen;337;98,0 %;-;339;98,5 %;-
SPD;92;27,3 %;-;96;28,3 %;-
AfD;116;34,4 %;-;115;33,9 %;-
CDU;33;9,8 %;-;31;9,1 %;-
GRÜNE/B 90;7;2,1 %;-;9;2,7 %;-
DIE LINKE;9;2,7 %;-;8;2,4 %;-
BVB / FREIE WÄHLER;77;22,8 %;-;30;8,8 %;-
FDP;0;0,0 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;14;4,1 %;-
Plus;3;0,9 %;-;1;0,3 %;-
BSW;-;-;-;33;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
