Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.284;-;-;1.284;-;-
Wählende;581;45,2 %;-;581.0;45,2 %;-
Ungültige Stimmen;10;1,7 %;-;8.0;1,4 %;-
Gültige Stimmen;571;98,3 %;-;573.0;98,6 %;-
SPD;187;32,7 %;-;183.0;31,9 %;-
AfD;229;40,1 %;-;210.0;36,6 %;-
CDU;77;13,5 %;-;47.0;8,2 %;-
GRÜNE/B 90;5;0,9 %;-;6.0;1,0 %;-
DIE LINKE;34;6,0 %;-;15.0;2,6 %;-
BVB / FREIE WÄHLER;17;3,0 %;-;11.0;1,9 %;-
FDP;7;1,2 %;-;3.0;0,5 %;-
Tierschutzpartei;-;-;-;18.0;3,1 %;-
Plus;10;1,8 %;-;6.0;1,0 %;-
BSW;-;-;-;69.0;12,0 %;-
III. Weg;5;0,9 %;-;2.0;0,3 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,3 %;-
WU;-;-;-;1.0;0,2 %;-
