Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;417;-;-;417;-;-
Wählende;238;57,1 %;-25;238;57,1 %;-25
Ungültige Stimmen;2;0,8 %;-11;3;1,3 %;-03
Gültige Stimmen;236;99,2 %;+11;235;98,7 %;+03
SPD;63;26,7 %;+45;56;23,8 %;+37
AfD;128;54,2 %;+208;113;48,1 %;+159
CDU;27;11,4 %;-84;22;9,4 %;-100
GRÜNE/B 90;5;2,1 %;-41;6;2,6 %;-40
DIE LINKE;0;0,0 %;-93;0;0,0 %;-101
BVB / FREIE WÄHLER;9;3,8 %;-28;5;2,1 %;-21
FDP;0;0,0 %;-23;1;0,4 %;-38
Tierschutzpartei;-;-;-;2;0,9 %;-11
Plus;3;1,3 %;+13;1;0,4 %;-07
BSW;-;-;-;27;11,5 %;+115
III. Weg;-;-;-;1;0,4 %;+04
DKP;-;-;-;0;0,0 %;00
DLW;1;0,4 %;+04;1;0,4 %;+04
WU;-;-;-;0;0,0 %;00
