Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;355;-;-;355;-;-
Wählende;253;71,3 %;-;253;71,3 %;-
Ungültige Stimmen;4;1,6 %;-;3;1,2 %;-
Gültige Stimmen;249;98,4 %;-;250;98,8 %;-
SPD;81;32,5 %;-;79;31,6 %;-
AfD;92;36,9 %;-;90;36,0 %;-
CDU;31;12,4 %;-;20;8,0 %;-
GRÜNE/B 90;2;0,8 %;-;2;0,8 %;-
DIE LINKE;14;5,6 %;-;6;2,4 %;-
BVB / FREIE WÄHLER;12;4,8 %;-;5;2,0 %;-
FDP;2;0,8 %;-;2;0,8 %;-
Tierschutzpartei;6;2,4 %;-;5;2,0 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;34;13,6 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;9;3,6 %;-;2;0,8 %;-
WU;-;-;-;3;1,2 %;-
