Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;796;-;-;796;-;-
Wählende;437;54,9 %;+56;437;54,9 %;+56
Ungültige Stimmen;9;2,1 %;+10;4;0,9 %;-04
Gültige Stimmen;428;97,9 %;-10;433;99,1 %;+04
SPD;119;27,8 %;-07;120;27,7 %;-09
AfD;186;43,5 %;+156;162;37,4 %;+84
CDU;65;15,2 %;-11;50;11,5 %;-27
GRÜNE/B 90;4;0,9 %;-65;9;2,1 %;-37
DIE LINKE;28;6,5 %;-35;17;3,9 %;-65
BVB / FREIE WÄHLER;22;5,1 %;-01;7;1,6 %;-37
FDP;4;0,9 %;-23;5;1,2 %;-22
Tierschutzpartei;-;-;-;7;1,6 %;-06
Plus;-;-;-;1;0,2 %;-06
BSW;-;-;-;53;12,2 %;+122
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,5 %;+05
WU;-;-;-;0;0,0 %;00
