Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.058;-;-;1.058;-;-
Wählende;517;48,9 %;-;517;48,9 %;-
Ungültige Stimmen;11;2,1 %;-;7;1,4 %;-
Gültige Stimmen;506;97,9 %;-;510;98,6 %;-
SPD;246;48,6 %;-;184;36,1 %;-
AfD;180;35,6 %;-;177;34,7 %;-
CDU;40;7,9 %;-;51;10,0 %;-
GRÜNE/B 90;4;0,8 %;-;7;1,4 %;-
DIE LINKE;18;3,6 %;-;16;3,1 %;-
BVB / FREIE WÄHLER;17;3,4 %;-;11;2,2 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;0,6 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;56;11,0 %;-
III. Weg;-;-;-;2;0,4 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;1;0,2 %;-;-;-;-
