Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;545;-;-;545;-;-
Ungültige Stimmen;6;1,1 %;-03;4;0,7 %;-01
Gültige Stimmen;539;98,9 %;+03;541;99,3 %;+01
SPD;159;29,5 %;+93;151;27,9 %;+33
AfD;128;23,7 %;+77;111;20,5 %;+46
CDU;144;26,7 %;+38;111;20,5 %;-01
GRÜNE/B 90;19;3,5 %;-95;22;4,1 %;-89
DIE LINKE;36;6,7 %;-81;11;2,0 %;-97
BVB / FREIE WÄHLER;43;8,0 %;+10;24;4,4 %;-06
FDP;10;1,9 %;-28;5;0,9 %;-35
Tierschutzpartei;-;-;-;13;2,4 %;-12
Plus;-;-;-;6;1,1 %;+03
BSW;-;-;-;81;15,0 %;+150
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;3;0,6 %;+06
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;2;0,4 %;+04
