Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;157;-;-;157;-;-
Wählende;100;63,7 %;+98;100;63,7 %;+98
Ungültige Stimmen;2;2,0 %;+15;2;2,0 %;+15
Gültige Stimmen;98;98,0 %;-15;98;98,0 %;-15
SPD;25;25,5 %;-75;18;18,4 %;-156
AfD;50;51,0 %;+240;49;50,0 %;+229
CDU;13;13,3 %;-32;13;13,3 %;-23
GRÜNE/B 90;0;0,0 %;-46;0;0,0 %;-46
DIE LINKE;0;0,0 %;-87;1;1,0 %;-68
BVB / FREIE WÄHLER;6;6,1 %;-08;2;2,0 %;-21
FDP;2;2,0 %;-12;0;0,0 %;-37
Tierschutzpartei;-;-;-;2;2,0 %;+02
Plus;0;0,0 %;00;0;0,0 %;-14
BSW;-;-;-;12;12,2 %;+122
III. Weg;1;1,0 %;+10;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;1,0 %;+10
WU;-;-;-;0;0,0 %;00
EB Mießner;1;1,0 %;+10;-;-;-
