Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;206;-;-;206;-;-
Wählende;151;73,3 %;-;151;73,3 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;151;100,0 %;-;151;100,0 %;-
SPD;39;25,8 %;-;35;23,2 %;-
AfD;74;49,0 %;-;70;46,4 %;-
CDU;9;6,0 %;-;5;3,3 %;-
GRÜNE/B 90;1;0,7 %;-;1;0,7 %;-
DIE LINKE;3;2,0 %;-;2;1,3 %;-
BVB / FREIE WÄHLER;23;15,2 %;-;15;9,9 %;-
FDP;2;1,3 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;4;2,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;17;11,3 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,7 %;-
WU;-;-;-;0;0,0 %;-
