Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;756;-;-;756;-;-
Wählende;463;61,2 %;-;463;61,2 %;-
Ungültige Stimmen;6;1,3 %;-;4;0,9 %;-
Gültige Stimmen;457;98,7 %;-;459;99,1 %;-
SPD;133;29,1 %;-;124;27,0 %;-
AfD;192;42,0 %;-;168;36,6 %;-
CDU;85;18,6 %;-;60;13,1 %;-
GRÜNE/B 90;3;0,7 %;-;7;1,5 %;-
DIE LINKE;16;3,5 %;-;8;1,7 %;-
BVB / FREIE WÄHLER;22;4,8 %;-;9;2,0 %;-
FDP;6;1,3 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;2;0,4 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;75;16,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,4 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
