Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.037;-;-;1.037;-;-
Wählende;449;43,3 %;-;449;43,3 %;-
Ungültige Stimmen;5;1,1 %;-;4;0,9 %;-
Gültige Stimmen;444;98,9 %;-;445;99,1 %;-
SPD;90;20,3 %;-;87;19,6 %;-
AfD;188;42,3 %;-;180;40,4 %;-
CDU;120;27,0 %;-;73;16,4 %;-
GRÜNE/B 90;10;2,3 %;-;12;2,7 %;-
DIE LINKE;10;2,3 %;-;18;4,0 %;-
BVB / FREIE WÄHLER;14;3,2 %;-;9;2,0 %;-
FDP;2;0,5 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;11;2,5 %;-
Plus;5;1,1 %;-;4;0,9 %;-
BSW;-;-;-;41;9,2 %;-
III. Weg;1;0,2 %;-;4;0,9 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,7 %;-
WU;-;-;-;2;0,4 %;-
EB Mießner;4;0,9 %;-;-;-;-
