Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;807;-;-;807;-;-
Ungültige Stimmen;8;1,0 %;-;3;0,4 %;-
Gültige Stimmen;799;99,0 %;-;804;99,6 %;-
SPD;213;26,7 %;-;259;32,2 %;-
AfD;107;13,4 %;-;97;12,1 %;-
CDU;137;17,1 %;-;123;15,3 %;-
GRÜNE/B 90;40;5,0 %;-;46;5,7 %;-
DIE LINKE;69;8,6 %;-;35;4,4 %;-
BVB / FREIE WÄHLER;213;26,7 %;-;82;10,2 %;-
FDP;10;1,3 %;-;9;1,1 %;-
Tierschutzpartei;-;-;-;9;1,1 %;-
Plus;-;-;-;6;0,7 %;-
BSW;-;-;-;133;16,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;3;0,4 %;-
dieBasis;4;0,5 %;-;-;-;-
EB Link;6;0,8 %;-;-;-;-
