Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;869;-;-;869;-;-
Ungültige Stimmen;10;1,2 %;-;5;0,6 %;-
Gültige Stimmen;859;98,8 %;-;864;99,4 %;-
SPD;337;39,2 %;-;318;36,8 %;-
AfD;187;21,8 %;-;159;18,4 %;-
CDU;166;19,3 %;-;140;16,2 %;-
GRÜNE/B 90;41;4,8 %;-;43;5,0 %;-
DIE LINKE;31;3,6 %;-;20;2,3 %;-
BVB / FREIE WÄHLER;60;7,0 %;-;28;3,2 %;-
FDP;11;1,3 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;19;2,2 %;-
Plus;26;3,0 %;-;16;1,9 %;-
BSW;-;-;-;111;12,8 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,3 %;-
WU;-;-;-;1;0,1 %;-
