Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;951;-;-;951;-;-
Wählende;425;44,7 %;-;425;44,7 %;-
Ungültige Stimmen;2;0,5 %;-;3;0,7 %;-
Gültige Stimmen;423;99,5 %;-;422;99,3 %;-
SPD;170;40,2 %;-;139;32,9 %;-
AfD;148;35,0 %;-;143;33,9 %;-
CDU;52;12,3 %;-;44;10,4 %;-
GRÜNE/B 90;5;1,2 %;-;16;3,8 %;-
DIE LINKE;10;2,4 %;-;8;1,9 %;-
BVB / FREIE WÄHLER;22;5,2 %;-;13;3,1 %;-
FDP;8;1,9 %;-;6;1,4 %;-
Tierschutzpartei;-;-;-;6;1,4 %;-
Plus;4;0,9 %;-;2;0,5 %;-
BSW;-;-;-;44;10,4 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Müller;4;0,9 %;-;-;-;-
