Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;803;-;-;803;-;-
Wählende;436;54,3 %;-;436;54,3 %;-
Ungültige Stimmen;4;0,9 %;-;3;0,7 %;-
Gültige Stimmen;432;99,1 %;-;433;99,3 %;-
SPD;122;28,2 %;-;112;25,9 %;-
AfD;202;46,8 %;-;194;44,8 %;-
CDU;69;16,0 %;-;41;9,5 %;-
GRÜNE/B 90;2;0,5 %;-;4;0,9 %;-
DIE LINKE;15;3,5 %;-;11;2,5 %;-
BVB / FREIE WÄHLER;12;2,8 %;-;8;1,8 %;-
FDP;1;0,2 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;15;3,5 %;-
Plus;5;1,2 %;-;9;2,1 %;-
BSW;-;-;-;36;8,3 %;-
III. Weg;4;0,9 %;-;2;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
