Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;44;-;-;44;-;-
Wählende;27;61,4 %;-;27;61,4 %;-
Ungültige Stimmen;1;3,7 %;-;1;3,7 %;-
Gültige Stimmen;26;96,3 %;-;26;96,3 %;-
SPD;12;46,2 %;-;10;38,5 %;-
AfD;5;19,2 %;-;4;15,4 %;-
CDU;8;30,8 %;-;7;26,9 %;-
GRÜNE/B 90;0;0,0 %;-;1;3,8 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;1;3,8 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;3,8 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;1;3,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;3,8 %;-;1;3,8 %;-
WU;-;-;-;0;0,0 %;-
