Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;983;-;-;983;-;-
Wählende;494;50,3 %;-;494;50,3 %;-
Ungültige Stimmen;5;1,0 %;-;2;0,4 %;-
Gültige Stimmen;489;99,0 %;-;492;99,6 %;-
SPD;187;38,2 %;-;154;31,3 %;-
AfD;151;30,9 %;-;138;28,0 %;-
CDU;61;12,5 %;-;62;12,6 %;-
GRÜNE/B 90;15;3,1 %;-;33;6,7 %;-
DIE LINKE;13;2,7 %;-;14;2,8 %;-
BVB / FREIE WÄHLER;53;10,8 %;-;20;4,1 %;-
FDP;3;0,6 %;-;7;1,4 %;-
Tierschutzpartei;-;-;-;8;1,6 %;-
Plus;6;1,2 %;-;3;0,6 %;-
BSW;-;-;-;50;10,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;1;0,2 %;-
