Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.134;-;-;1.134;-;-
Wählende;623;54,9 %;-;623.0;54,9 %;-
Ungültige Stimmen;8;1,3 %;-;6.0;1,0 %;-
Gültige Stimmen;615;98,7 %;-;617.0;99,0 %;-
SPD;252;41,0 %;-;232.0;37,6 %;-
AfD;190;30,9 %;-;174.0;28,2 %;-
CDU;89;14,5 %;-;72.0;11,7 %;-
GRÜNE/B 90;13;2,1 %;-;20.0;3,2 %;-
DIE LINKE;22;3,6 %;-;16.0;2,6 %;-
BVB / FREIE WÄHLER;31;5,0 %;-;13.0;2,1 %;-
FDP;6;1,0 %;-;3.0;0,5 %;-
Tierschutzpartei;-;-;-;9.0;1,5 %;-
Plus;12;2,0 %;-;8.0;1,3 %;-
BSW;-;-;-;70.0;11,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
