Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;299;-;-;299;-;-
Ungültige Stimmen;3;1,0 %;-;0;0,0 %;-
Gültige Stimmen;296;99,0 %;-;299;100,0 %;-
SPD;103;34,8 %;-;110;36,8 %;-
AfD;54;18,2 %;-;45;15,1 %;-
CDU;91;30,7 %;-;70;23,4 %;-
GRÜNE/B 90;20;6,8 %;-;17;5,7 %;-
DIE LINKE;9;3,0 %;-;3;1,0 %;-
BVB / FREIE WÄHLER;15;5,1 %;-;6;2,0 %;-
FDP;4;1,4 %;-;2;0,7 %;-
Tierschutzpartei;-;-;-;10;3,3 %;-
Plus;-;-;-;4;1,3 %;-
BSW;-;-;-;30;10,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
