Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.047;-;-;1.047;-;-
Wählende;423;40,4 %;-;423.0;40,4 %;-
Ungültige Stimmen;15;3,5 %;-;14.0;3,3 %;-
Gültige Stimmen;408;96,5 %;-;409.0;96,7 %;-
SPD;141;34,6 %;-;119.0;29,1 %;-
AfD;178;43,6 %;-;158.0;38,6 %;-
CDU;32;7,8 %;-;24.0;5,9 %;-
GRÜNE/B 90;5;1,2 %;-;8.0;2,0 %;-
DIE LINKE;30;7,4 %;-;18.0;4,4 %;-
BVB / FREIE WÄHLER;18;4,4 %;-;8.0;2,0 %;-
FDP;4;1,0 %;-;3.0;0,7 %;-
Tierschutzpartei;-;-;-;10.0;2,4 %;-
Plus;-;-;-;1.0;0,2 %;-
BSW;-;-;-;58.0;14,2 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;1.0;0,2 %;-
