Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;921;-;-;921;-;-
Wählende;426;46,3 %;-;426;46,3 %;-
Ungültige Stimmen;11;2,6 %;-;6;1,4 %;-
Gültige Stimmen;415;97,4 %;-;420;98,6 %;-
SPD;123;29,6 %;-;117;27,9 %;-
AfD;183;44,1 %;-;166;39,5 %;-
CDU;40;9,6 %;-;31;7,4 %;-
GRÜNE/B 90;0;0,0 %;-;2;0,5 %;-
DIE LINKE;44;10,6 %;-;23;5,5 %;-
BVB / FREIE WÄHLER;20;4,8 %;-;16;3,8 %;-
FDP;5;1,2 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;7;1,7 %;-
Plus;-;-;-;4;1,0 %;-
BSW;-;-;-;50;11,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
dieBasis;0;0,0 %;-;-;-;-
