Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;624;-;-;624;-;-
Ungültige Stimmen;5;0,8 %;-04;0;0,0 %;-07
Gültige Stimmen;619;99,2 %;+04;624;100,0 %;+07
SPD;277;44,7 %;+205;244;39,1 %;+147
AfD;127;20,5 %;+48;94;15,1 %;-12
CDU;106;17,1 %;-16;87;13,9 %;-46
GRÜNE/B 90;14;2,3 %;-111;22;3,5 %;-126
DIE LINKE;22;3,6 %;-114;8;1,3 %;-106
BVB / FREIE WÄHLER;57;9,2 %;+01;24;3,8 %;-19
FDP;8;1,3 %;-26;2;0,3 %;-35
Tierschutzpartei;-;-;-;18;2,9 %;+09
Plus;8;1,3 %;+13;3;0,5 %;-06
BSW;-;-;-;118;18,9 %;+189
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,5 %;+05
WU;-;-;-;0;0,0 %;00
