Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;381;-;-;381;-;-
Wählende;210;55,1 %;-;210;55,1 %;-
Ungültige Stimmen;8;3,8 %;-;1;0,5 %;-
Gültige Stimmen;202;96,2 %;-;209;99,5 %;-
SPD;67;33,2 %;-;62;29,7 %;-
AfD;96;47,5 %;-;88;42,1 %;-
CDU;23;11,4 %;-;24;11,5 %;-
GRÜNE/B 90;2;1,0 %;-;6;2,9 %;-
DIE LINKE;3;1,5 %;-;3;1,4 %;-
BVB / FREIE WÄHLER;6;3,0 %;-;4;1,9 %;-
FDP;2;1,0 %;-;2;1,0 %;-
Tierschutzpartei;3;1,5 %;-;1;0,5 %;-
Plus;-;-;-;2;1,0 %;-
BSW;-;-;-;17;8,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
