Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;264;-;-;264;-;-
Wählende;146;55,3 %;+68;146;55,3 %;+68
Ungültige Stimmen;2;1,4 %;-00;2;1,4 %;+01
Gültige Stimmen;144;98,6 %;+00;144;98,6 %;-01
SPD;60;41,7 %;+54;46;31,9 %;-17
AfD;-;-;-219;46;31,9 %;+92
CDU;28;19,4 %;+46;17;11,8 %;-27
GRÜNE/B 90;2;1,4 %;-45;6;4,2 %;-23
DIE LINKE;4;2,8 %;-78;4;2,8 %;-74
BVB / FREIE WÄHLER;12;8,3 %;+06;3;2,1 %;-37
FDP;5;3,5 %;+06;0;0,0 %;-32
Tierschutzpartei;-;-;-;5;3,5 %;+17
Plus;-;-;-;0;0,0 %;-14
BSW;-;-;-;16;11,1 %;+111
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,7 %;+07
WU;-;-;-;0;0,0 %;00
EB Raue;33;22,9 %;+229;-;-;-
