Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.001;-;-;1.001;-;-
Wählende;514;51,3 %;-;514.0;51,3 %;-
Ungültige Stimmen;7;1,4 %;-;4.0;0,8 %;-
Gültige Stimmen;507;98,6 %;-;510.0;99,2 %;-
SPD;219;43,2 %;-;209.0;41,0 %;-
AfD;118;23,3 %;-;117.0;22,9 %;-
CDU;100;19,7 %;-;70.0;13,7 %;-
GRÜNE/B 90;31;6,1 %;-;40.0;7,8 %;-
DIE LINKE;17;3,4 %;-;17.0;3,3 %;-
BVB / FREIE WÄHLER;16;3,2 %;-;8.0;1,6 %;-
FDP;6;1,2 %;-;8.0;1,6 %;-
Tierschutzpartei;-;-;-;9.0;1,8 %;-
Plus;-;-;-;3.0;0,6 %;-
BSW;-;-;-;29.0;5,7 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
