Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;513;-;-;513;-;-
Ungültige Stimmen;6;1,2 %;+05;0;0,0 %;-14
Gültige Stimmen;507;98,8 %;-05;513;100,0 %;+14
SPD;136;26,8 %;+121;118;23,0 %;+34
AfD;128;25,2 %;+102;108;21,1 %;+42
CDU;95;18,7 %;+10;76;14,8 %;-27
GRÜNE/B 90;33;6,5 %;-184;33;6,4 %;-111
DIE LINKE;30;5,9 %;-111;18;3,5 %;-133
BVB / FREIE WÄHLER;60;11,8 %;+36;18;3,5 %;-30
FDP;2;0,4 %;-06;3;0,6 %;-04
Tierschutzpartei;23;4,5 %;+45;9;1,8 %;-07
Plus;-;-;-10;6;1,2 %;-02
BSW;-;-;-;122;23,8 %;+238
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,4 %;+04
WU;-;-;-;0;0,0 %;00
