Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.521;-;-;1.521;-;-
Wählende;757;49,8 %;+51;757.0;49,8 %;+51
Ungültige Stimmen;10;1,3 %;-01;7.0;0,9 %;-02
Gültige Stimmen;747;98,7 %;+01;750.0;99,1 %;+02
SPD;211;28,2 %;+56;193.0;25,7 %;+31
AfD;366;49,0 %;+152;335.0;44,7 %;+113
CDU;81;10,8 %;-41;57.0;7,6 %;-73
GRÜNE/B 90;10;1,3 %;-76;15.0;2,0 %;-57
DIE LINKE;26;3,5 %;-73;24.0;3,2 %;-54
BVB / FREIE WÄHLER;31;4,1 %;-14;10.0;1,3 %;-19
FDP;9;1,2 %;-23;6.0;0,8 %;-43
Tierschutzpartei;-;-;-;10.0;1,3 %;-16
Plus;4;0,5 %;+05;3.0;0,4 %;-07
BSW;-;-;-;88.0;11,7 %;+117
III. Weg;-;-;-;1.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;9;1,2 %;+12;3.0;0,4 %;+04
WU;-;-;-;5.0;0,7 %;+07
