Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.306;-;-;1.306;-;-
Wählende;558;42,7 %;-;558.0;42,7 %;-
Ungültige Stimmen;4;0,7 %;-;2.0;0,4 %;-
Gültige Stimmen;554;99,3 %;-;556.0;99,6 %;-
SPD;167;30,1 %;-;153.0;27,5 %;-
AfD;234;42,2 %;-;215.0;38,7 %;-
CDU;67;12,1 %;-;54.0;9,7 %;-
GRÜNE/B 90;11;2,0 %;-;23.0;4,1 %;-
DIE LINKE;30;5,4 %;-;16.0;2,9 %;-
BVB / FREIE WÄHLER;41;7,4 %;-;12.0;2,2 %;-
FDP;4;0,7 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;11.0;2,0 %;-
Plus;-;-;-;0.0;0,0 %;-
BSW;-;-;-;65.0;11,7 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;5.0;0,9 %;-
WU;-;-;-;1.0;0,2 %;-
