Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;983;-;-;983;-;-
Wählende;490;49,8 %;-;490;49,8 %;-
Ungültige Stimmen;6;1,2 %;-;5;1,0 %;-
Gültige Stimmen;484;98,8 %;-;485;99,0 %;-
SPD;185;38,2 %;-;187;38,6 %;-
AfD;120;24,8 %;-;123;25,4 %;-
CDU;127;26,2 %;-;109;22,5 %;-
GRÜNE/B 90;16;3,3 %;-;18;3,7 %;-
DIE LINKE;6;1,2 %;-;4;0,8 %;-
BVB / FREIE WÄHLER;16;3,3 %;-;16;3,3 %;-
FDP;14;2,9 %;-;6;1,2 %;-
Tierschutzpartei;-;-;-;4;0,8 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;14;2,9 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
