Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;913;-;-;913;-;-
Wählende;459;50,3 %;-;459;50,3 %;-
Ungültige Stimmen;13;2,8 %;-;5;1,1 %;-
Gültige Stimmen;446;97,2 %;-;454;98,9 %;-
SPD;110;24,7 %;-;132;29,1 %;-
AfD;130;29,1 %;-;118;26,0 %;-
CDU;27;6,1 %;-;22;4,8 %;-
GRÜNE/B 90;11;2,5 %;-;11;2,4 %;-
DIE LINKE;43;9,6 %;-;20;4,4 %;-
BVB / FREIE WÄHLER;115;25,8 %;-;43;9,5 %;-
FDP;3;0,7 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;6;1,3 %;-
Plus;-;-;-;8;1,8 %;-
BSW;-;-;-;92;20,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;2;0,4 %;-;-;-;-
EB Link;5;1,1 %;-;-;-;-
