Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;470;-;-;470;-;-
Wählende;277;58,9 %;+194;277;58,9 %;+194
Ungültige Stimmen;5;1,8 %;+06;3;1,1 %;-02
Gültige Stimmen;272;98,2 %;-06;274;98,9 %;+02
SPD;47;17,3 %;-96;53;19,3 %;-83
AfD;168;61,8 %;+321;151;55,1 %;+236
CDU;28;10,3 %;-40;15;5,5 %;-72
GRÜNE/B 90;1;0,4 %;-41;0;0,0 %;-47
DIE LINKE;11;4,0 %;-134;7;2,6 %;-112
BVB / FREIE WÄHLER;15;5,5 %;+04;6;2,2 %;-27
FDP;2;0,7 %;-15;2;0,7 %;-15
Tierschutzpartei;-;-;-;4;1,5 %;-03
Plus;-;-;-;0;0,0 %;-07
BSW;-;-;-;34;12,4 %;+124
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;2;0,7 %;+07
