Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;671;-;-;671;-;-
Wählende;381;56,8 %;-;381;56,8 %;-
Ungültige Stimmen;5;1,3 %;-;3;0,8 %;-
Gültige Stimmen;376;98,7 %;-;378;99,2 %;-
SPD;106;28,2 %;-;117;31,0 %;-
AfD;138;36,7 %;-;129;34,1 %;-
CDU;62;16,5 %;-;43;11,4 %;-
GRÜNE/B 90;0;0,0 %;-;4;1,1 %;-
DIE LINKE;16;4,3 %;-;7;1,9 %;-
BVB / FREIE WÄHLER;14;3,7 %;-;5;1,3 %;-
FDP;40;10,6 %;-;4;1,1 %;-
Tierschutzpartei;-;-;-;8;2,1 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;59;15,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
