Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;95;-;-;95;-;-
Wählende;71;74,7 %;-;71;74,7 %;-
Ungültige Stimmen;1;1,4 %;-;1;1,4 %;-
Gültige Stimmen;70;98,6 %;-;70;98,6 %;-
SPD;23;32,9 %;-;18;25,7 %;-
AfD;32;45,7 %;-;32;45,7 %;-
CDU;6;8,6 %;-;5;7,1 %;-
GRÜNE/B 90;2;2,9 %;-;4;5,7 %;-
DIE LINKE;3;4,3 %;-;5;7,1 %;-
BVB / FREIE WÄHLER;2;2,9 %;-;1;1,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,4 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;4;5,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;2,9 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
