Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.050;-;-;1.05;-;-
Wählende;535;51,0 %;+13;535.0;51,0 %;+13
Ungültige Stimmen;8;1,5 %;+01;6.0;1,1 %;-02
Gültige Stimmen;527;98,5 %;-01;529.0;98,9 %;+02
SPD;173;32,8 %;-42;188.0;35,5 %;+55
AfD;140;26,6 %;+51;128.0;24,2 %;+18
CDU;92;17,5 %;+50;83.0;15,7 %;+33
GRÜNE/B 90;11;2,1 %;-58;12.0;2,3 %;-69
DIE LINKE;17;3,2 %;-74;8.0;1,5 %;-100
BVB / FREIE WÄHLER;92;17,5 %;+87;19.0;3,6 %;-31
FDP;2;0,4 %;-15;4.0;0,8 %;-24
Tierschutzpartei;-;-;-;12.0;2,3 %;-08
Plus;-;-;-;1.0;0,2 %;-13
BSW;-;-;-;69.0;13,0 %;+130
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;4.0;0,8 %;+08
WU;-;-;-;1.0;0,2 %;+02
