Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;973;-;-;973;-;-
Wählende;430;44,2 %;-;430;44,2 %;-
Ungültige Stimmen;5;1,2 %;-;6;1,4 %;-
Gültige Stimmen;425;98,8 %;-;424;98,6 %;-
SPD;183;43,1 %;-;136;32,1 %;-
AfD;194;45,6 %;-;195;46,0 %;-
CDU;24;5,6 %;-;26;6,1 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;9;2,1 %;-;9;2,1 %;-
BVB / FREIE WÄHLER;10;2,4 %;-;4;0,9 %;-
FDP;4;0,9 %;-;5;1,2 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;42;9,9 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;1;0,2 %;-;-;-;-
