Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;311;-;-;311;-;-
Wählende;232;74,6 %;+126;232;74,6 %;+126
Ungültige Stimmen;1;0,4 %;-13;1;0,4 %;-12
Gültige Stimmen;231;99,6 %;+13;231;99,6 %;+12
SPD;56;24,2 %;-45;64;27,7 %;-22
AfD;122;52,8 %;+108;114;49,4 %;+74
CDU;28;12,1 %;-01;12;5,2 %;-55
GRÜNE/B 90;3;1,3 %;-09;3;1,3 %;-15
DIE LINKE;8;3,5 %;-32;4;1,7 %;-41
BVB / FREIE WÄHLER;11;4,8 %;+03;4;1,7 %;-13
FDP;2;0,9 %;-22;2;0,9 %;-19
Tierschutzpartei;-;-;-;4;1,7 %;-05
Plus;-;-;-;2;0,9 %;+03
BSW;-;-;-;20;8,7 %;+87
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;2;0,9 %;+09
EB Hoffmann;1;0,4 %;-01;-;-;-
