Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;227;-;-;227;-;-
Wählende;118;52,0 %;-;118;52,0 %;-
Ungültige Stimmen;3;2,5 %;-;2;1,7 %;-
Gültige Stimmen;115;97,5 %;-;116;98,3 %;-
SPD;30;26,1 %;-;32;27,6 %;-
AfD;32;27,8 %;-;29;25,0 %;-
CDU;13;11,3 %;-;9;7,8 %;-
GRÜNE/B 90;5;4,3 %;-;0;0,0 %;-
DIE LINKE;11;9,6 %;-;8;6,9 %;-
BVB / FREIE WÄHLER;23;20,0 %;-;5;4,3 %;-
FDP;1;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;5,2 %;-
Plus;-;-;-;4;3,4 %;-
BSW;-;-;-;20;17,2 %;-
III. Weg;-;-;-;2;1,7 %;-
DKP;-;-;-;1;0,9 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
