Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;608;-;-;608;-;-
Wählende;298;49,0 %;-;298;49,0 %;-
Ungültige Stimmen;6;2,0 %;-;2;0,7 %;-
Gültige Stimmen;292;98,0 %;-;296;99,3 %;-
SPD;97;33,2 %;-;93;31,4 %;-
AfD;93;31,8 %;-;79;26,7 %;-
CDU;53;18,2 %;-;41;13,9 %;-
GRÜNE/B 90;6;2,1 %;-;7;2,4 %;-
DIE LINKE;15;5,1 %;-;6;2,0 %;-
BVB / FREIE WÄHLER;24;8,2 %;-;9;3,0 %;-
FDP;4;1,4 %;-;3;1,0 %;-
Tierschutzpartei;-;-;-;18;6,1 %;-
Plus;-;-;-;7;2,4 %;-
BSW;-;-;-;27;9,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;4;1,4 %;-
