Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;891;-;-;891;-;-
Wählende;463;52,0 %;-;463;52,0 %;-
Ungültige Stimmen;3;0,6 %;-;2;0,4 %;-
Gültige Stimmen;460;99,4 %;-;461;99,6 %;-
SPD;123;26,7 %;-;135;29,3 %;-
AfD;177;38,5 %;-;174;37,7 %;-
CDU;62;13,5 %;-;50;10,8 %;-
GRÜNE/B 90;3;0,7 %;-;1;0,2 %;-
DIE LINKE;8;1,7 %;-;6;1,3 %;-
BVB / FREIE WÄHLER;64;13,9 %;-;18;3,9 %;-
FDP;11;2,4 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;8;1,7 %;-
Plus;-;-;-;3;0,7 %;-
BSW;-;-;-;56;12,1 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;12;2,6 %;-;4;0,9 %;-
WU;-;-;-;1;0,2 %;-
