Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;755;-;-;755;-;-
Ungültige Stimmen;13;1,7 %;+04;5;0,7 %;+01
Gültige Stimmen;742;98,3 %;-04;750;99,3 %;-01
SPD;298;40,2 %;+68;254;33,9 %;+54
AfD;175;23,6 %;+48;147;19,6 %;-06
CDU;113;15,2 %;+40;91;12,1 %;+13
GRÜNE/B 90;26;3,5 %;-72;39;5,2 %;-62
DIE LINKE;65;8,8 %;-35;30;4,0 %;-112
BVB / FREIE WÄHLER;56;7,5 %;+16;12;1,6 %;-23
FDP;9;1,2 %;-66;6;0,8 %;-36
Tierschutzpartei;-;-;-;11;1,5 %;-09
Plus;-;-;-;8;1,1 %;-15
BSW;-;-;-;149;19,9 %;+199
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,3 %;+03
WU;-;-;-;1;0,1 %;+01
