Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;906;-;-;906;-;-
Wählende;461;50,9 %;+26;461;50,9 %;+26
Ungültige Stimmen;4;0,9 %;-15;3;0,7 %;-14
Gültige Stimmen;457;99,1 %;+15;458;99,3 %;+14
SPD;124;27,1 %;+22;114;24,9 %;+10
AfD;177;38,7 %;+137;165;36,0 %;+109
CDU;88;19,3 %;+52;68;14,8 %;+17
GRÜNE/B 90;3;0,7 %;-94;12;2,6 %;-86
DIE LINKE;23;5,0 %;-75;9;2,0 %;-95
BVB / FREIE WÄHLER;37;8,1 %;-11;14;3,1 %;-52
FDP;5;1,1 %;-16;2;0,4 %;-28
Tierschutzpartei;-;-;-;7;1,5 %;-08
Plus;-;-;-;1;0,2 %;-07
BSW;-;-;-;60;13,1 %;+131
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;2;0,4 %;+04
DLW;-;-;-;2;0,4 %;+04
WU;-;-;-;2;0,4 %;+04
