Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;743;-;-;743;-;-
Ungültige Stimmen;0;0,0 %;-07;1;0,1 %;-03
Gültige Stimmen;743;100,0 %;+07;742;99,9 %;+03
SPD;154;20,7 %;-24;190;25,6 %;-10
AfD;154;20,7 %;+44;150;20,2 %;+28
CDU;348;46,8 %;+143;211;28,4 %;+29
GRÜNE/B 90;9;1,2 %;-61;14;1,9 %;-56
DIE LINKE;31;4,2 %;-104;19;2,6 %;-109
BVB / FREIE WÄHLER;28;3,8 %;-03;11;1,5 %;-18
FDP;0;0,0 %;-22;2;0,3 %;-24
Tierschutzpartei;-;-;-;13;1,8 %;-04
Plus;10;1,3 %;+13;6;0,8 %;-03
BSW;-;-;-;121;16,3 %;+163
III. Weg;2;0,3 %;+03;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;4;0,5 %;+05
WU;-;-;-;0;0,0 %;00
EB Mießner;7;0,9 %;+09;-;-;-
