Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.206;-;-;1.206;-;-
Wählende;497;41,2 %;-;497.0;41,2 %;-
Ungültige Stimmen;5;1,0 %;-;3.0;0,6 %;-
Gültige Stimmen;492;99,0 %;-;494.0;99,4 %;-
SPD;124;25,2 %;-;103.0;20,9 %;-
AfD;243;49,4 %;-;219.0;44,3 %;-
CDU;51;10,4 %;-;25.0;5,1 %;-
GRÜNE/B 90;3;0,6 %;-;5.0;1,0 %;-
DIE LINKE;39;7,9 %;-;30.0;6,1 %;-
BVB / FREIE WÄHLER;14;2,8 %;-;5.0;1,0 %;-
FDP;5;1,0 %;-;3.0;0,6 %;-
Tierschutzpartei;-;-;-;18.0;3,6 %;-
Plus;9;1,8 %;-;9.0;1,8 %;-
BSW;-;-;-;70.0;14,2 %;-
III. Weg;4;0,8 %;-;2.0;0,4 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;4.0;0,8 %;-
WU;-;-;-;0.0;0,0 %;-
