Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.278;-;-;1.278;-;-
Wählende;523;40,9 %;-;523.0;40,9 %;-
Ungültige Stimmen;12;2,3 %;-;7.0;1,3 %;-
Gültige Stimmen;511;97,7 %;-;516.0;98,7 %;-
SPD;216;42,3 %;-;183.0;35,5 %;-
AfD;195;38,2 %;-;173.0;33,5 %;-
CDU;42;8,2 %;-;39.0;7,6 %;-
GRÜNE/B 90;5;1,0 %;-;5.0;1,0 %;-
DIE LINKE;20;3,9 %;-;10.0;1,9 %;-
BVB / FREIE WÄHLER;29;5,7 %;-;16.0;3,1 %;-
FDP;4;0,8 %;-;4.0;0,8 %;-
Tierschutzpartei;-;-;-;9.0;1,7 %;-
Plus;-;-;-;1.0;0,2 %;-
BSW;-;-;-;74.0;14,3 %;-
III. Weg;0;0,0 %;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;0.0;0,0 %;-
