Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;498;-;-;498;-;-
Wählende;279;56,0 %;-;279;56,0 %;-
Ungültige Stimmen;6;2,2 %;-;6;2,2 %;-
Gültige Stimmen;273;97,8 %;-;273;97,8 %;-
SPD;99;36,3 %;-;101;37,0 %;-
AfD;78;28,6 %;-;71;26,0 %;-
CDU;50;18,3 %;-;26;9,5 %;-
GRÜNE/B 90;5;1,8 %;-;6;2,2 %;-
DIE LINKE;21;7,7 %;-;8;2,9 %;-
BVB / FREIE WÄHLER;14;5,1 %;-;5;1,8 %;-
FDP;2;0,7 %;-;4;1,5 %;-
Tierschutzpartei;-;-;-;7;2,6 %;-
Plus;-;-;-;4;1,5 %;-
BSW;-;-;-;37;13,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;4;1,5 %;-;4;1,5 %;-
WU;-;-;-;0;0,0 %;-
