Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.005;-;-;1.005;-;-
Wählende;377;37,5 %;-;377.0;37,5 %;-
Ungültige Stimmen;7;1,9 %;-;7.0;1,9 %;-
Gültige Stimmen;370;98,1 %;-;370.0;98,1 %;-
SPD;131;35,4 %;-;128.0;34,6 %;-
AfD;144;38,9 %;-;132.0;35,7 %;-
CDU;32;8,6 %;-;28.0;7,6 %;-
GRÜNE/B 90;12;3,2 %;-;11.0;3,0 %;-
DIE LINKE;21;5,7 %;-;13.0;3,5 %;-
BVB / FREIE WÄHLER;17;4,6 %;-;6.0;1,6 %;-
FDP;3;0,8 %;-;1.0;0,3 %;-
Tierschutzpartei;-;-;-;8.0;2,2 %;-
Plus;10;2,7 %;-;10.0;2,7 %;-
BSW;-;-;-;33.0;8,9 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
