Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.130;-;-;1.13;-;-
Wählende;461;40,8 %;-;461.0;40,8 %;-
Ungültige Stimmen;7;1,5 %;-;8.0;1,7 %;-
Gültige Stimmen;454;98,5 %;-;453.0;98,3 %;-
SPD;152;33,5 %;-;149.0;32,9 %;-
AfD;183;40,3 %;-;171.0;37,7 %;-
CDU;71;15,6 %;-;46.0;10,2 %;-
GRÜNE/B 90;0;0,0 %;-;8.0;1,8 %;-
DIE LINKE;16;3,5 %;-;7.0;1,5 %;-
BVB / FREIE WÄHLER;19;4,2 %;-;6.0;1,3 %;-
FDP;3;0,7 %;-;5.0;1,1 %;-
Tierschutzpartei;10;2,2 %;-;5.0;1,1 %;-
Plus;-;-;-;4.0;0,9 %;-
BSW;-;-;-;50.0;11,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;2.0;0,4 %;-
