Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;946;-;-;946;-;-
Ungültige Stimmen;17;1,8 %;-05;6;0,6 %;+05
Gültige Stimmen;929;98,2 %;+05;940;99,4 %;-05
SPD;308;33,2 %;+34;284;30,2 %;+06
AfD;311;33,5 %;+335;271;28,8 %;+31
CDU;174;18,7 %;-58;107;11,4 %;-94
GRÜNE/B 90;11;1,2 %;-22;17;1,8 %;-21
DIE LINKE;51;5,5 %;-48;18;1,9 %;-71
BVB / FREIE WÄHLER;57;6,1 %;-06;22;2,3 %;-05
FDP;10;1,1 %;-30;9;1,0 %;-40
Tierschutzpartei;-;-;-;17;1,8 %;-02
Plus;-;-;-;6;0,6 %;-04
BSW;-;-;-;184;19,6 %;+196
III. Weg;-;-;-;4;0,4 %;+04
DKP;7;0,8 %;+08;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;1;0,1 %;+01
