Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;354;-;-;354;-;-
Wählende;214;60,5 %;-;214;60,5 %;-
Ungültige Stimmen;2;0,9 %;-;1;0,5 %;-
Gültige Stimmen;212;99,1 %;-;213;99,5 %;-
SPD;79;37,3 %;-;81;38,0 %;-
AfD;75;35,4 %;-;72;33,8 %;-
CDU;27;12,7 %;-;23;10,8 %;-
GRÜNE/B 90;1;0,5 %;-;1;0,5 %;-
DIE LINKE;2;0,9 %;-;4;1,9 %;-
BVB / FREIE WÄHLER;20;9,4 %;-;5;2,3 %;-
FDP;2;0,9 %;-;1;0,5 %;-
Tierschutzpartei;6;2,8 %;-;2;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;23;10,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,5 %;-
