Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;603;-;-;603;-;-
Ungültige Stimmen;4;0,7 %;+04;1;0,2 %;-01
Gültige Stimmen;599;99,3 %;-04;602;99,8 %;+01
SPD;165;27,5 %;-14;180;29,9 %;+36
AfD;135;22,5 %;+93;119;19,8 %;+53
CDU;187;31,2 %;+33;141;23,4 %;-24
GRÜNE/B 90;12;2,0 %;-49;12;2,0 %;-58
DIE LINKE;57;9,5 %;-14;23;3,8 %;-59
BVB / FREIE WÄHLER;33;5,5 %;-25;13;2,2 %;-59
FDP;1;0,2 %;-39;2;0,3 %;-58
Tierschutzpartei;-;-;-;7;1,2 %;+02
Plus;-;-;-;5;0,8 %;+04
BSW;-;-;-;94;15,6 %;+156
III. Weg;9;1,5 %;+15;3;0,5 %;+05
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;2;0,3 %;+03
