Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.041;-;-;1.041;-;-
Ungültige Stimmen;12;1,2 %;-;4.0;0,4 %;-
Gültige Stimmen;1.029;98,8 %;-;1.037;99,6 %;-
SPD;426;41,4 %;-;384.0;37,0 %;-
AfD;193;18,8 %;-;163.0;15,7 %;-
CDU;194;18,9 %;-;168.0;16,2 %;-
GRÜNE/B 90;43;4,2 %;-;52.0;5,0 %;-
DIE LINKE;73;7,1 %;-;19.0;1,8 %;-
BVB / FREIE WÄHLER;77;7,5 %;-;31.0;3,0 %;-
FDP;15;1,5 %;-;8.0;0,8 %;-
Tierschutzpartei;-;-;-;17.0;1,6 %;-
Plus;-;-;-;14.0;1,4 %;-
BSW;-;-;-;175.0;16,9 %;-
III. Weg;-;-;-;2.0;0,2 %;-
DKP;8;0,8 %;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,2 %;-
WU;-;-;-;2.0;0,2 %;-
