Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.064;-;-;1.064;-;-
Wählende;437;41,1 %;-;437;41,1 %;-
Ungültige Stimmen;2;0,5 %;-;3;0,7 %;-
Gültige Stimmen;435;99,5 %;-;434;99,3 %;-
SPD;228;52,4 %;-;142;32,7 %;-
AfD;100;23,0 %;-;90;20,7 %;-
CDU;52;12,0 %;-;43;9,9 %;-
GRÜNE/B 90;14;3,2 %;-;73;16,8 %;-
DIE LINKE;7;1,6 %;-;17;3,9 %;-
BVB / FREIE WÄHLER;21;4,8 %;-;11;2,5 %;-
FDP;7;1,6 %;-;6;1,4 %;-
Tierschutzpartei;-;-;-;12;2,8 %;-
Plus;5;1,1 %;-;7;1,6 %;-
BSW;-;-;-;32;7,4 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Müller;1;0,2 %;-;-;-;-
