Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;989;-;-;989;-;-
Wählende;447;45,2 %;-;447;45,2 %;-
Ungültige Stimmen;9;2,0 %;-;6;1,3 %;-
Gültige Stimmen;438;98,0 %;-;441;98,7 %;-
SPD;116;26,5 %;-;111;25,2 %;-
AfD;208;47,5 %;-;184;41,7 %;-
CDU;34;7,8 %;-;23;5,2 %;-
GRÜNE/B 90;6;1,4 %;-;6;1,4 %;-
DIE LINKE;26;5,9 %;-;13;2,9 %;-
BVB / FREIE WÄHLER;28;6,4 %;-;8;1,8 %;-
FDP;5;1,1 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;8;1,8 %;-
Plus;5;1,1 %;-;4;0,9 %;-
BSW;-;-;-;74;16,8 %;-
III. Weg;-;-;-;2;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;3;0,7 %;-
EB Gliese;10;2,3 %;-;-;-;-
